Id,Ticker__c,AssetClass__c,Amount__c,TransactionType__c,TransactionDate__c,FinancialAccountId
TXN-001,AAPL,Equity - US,42500.00,BUY,2026-05-01,FA-0001
TXN-002,SPY,Equity - US,85000.00,BUY,2026-05-01,FA-0001
TXN-003,BND,Fixed Income - Government,28000.00,BUY,2026-05-01,FA-0001
TXN-004,VXUS,Equity - International,31000.00,BUY,2026-05-01,FA-0001
TXN-005,MSFT,Equity - US,75000.00,BUY,2026-05-02,FA-0002
TXN-006,TLT,Fixed Income - Government,62000.00,BUY,2026-05-02,FA-0002
TXN-007,CASH,Cash & Equivalents,12500.00,BUY,2026-05-02,FA-0002
TXN-008,NVDA,Equity - US,95000.00,BUY,2026-05-03,FA-0004
TXN-009,TSLA,Equity - US,88000.00,BUY,2026-05-03,FA-0004
TXN-010,META,Equity - US,76000.00,BUY,2026-05-03,FA-0004
